SMILES,LogS,Mol,MW
CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,-5.54801969566953,<rdkit.Chem.rdchem.Mol object at 0x00000285F117BF40>,434.4350000000002
CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,-5.071408991961754,<rdkit.Chem.rdchem.Mol object at 0x00000285F117BED0>,418.4440000000001
CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,-3.925969395299357,<rdkit.Chem.rdchem.Mol object at 0x00000285F117B990>,382.8470000000001
CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,-4.535280051805512,<rdkit.Chem.rdchem.Mol object at 0x00000285F117B920>,370.42800000000017
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-4.70996281408114,<rdkit.Chem.rdchem.Mol object at 0x00000285F117B8B0>,440.5070000000002
COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1,-3.795549032327418,<rdkit.Chem.rdchem.Mol object at 0x00000285F117B840>,352.50000000000017
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,-3.852570829476536,<rdkit.Chem.rdchem.Mol object at 0x00000285F117B7D0>,468.59400000000034
N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,-4.110101632632705,<rdkit.Chem.rdchem.Mol object at 0x00000285F117B6F0>,334.3790000000001
CCCc1cc(N2CCc3c(nc(C4CC4)n3C)C2)n2ncnc2n1,-3.80170228199551,<rdkit.Chem.rdchem.Mol object at 0x00000285F117B610>,337.43100000000004
C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,-3.72540511285351,<rdkit.Chem.rdchem.Mol object at 0x00000285F117B4C0>,285.35100000000006
[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,-4.399056409720074,<rdkit.Chem.rdchem.Mol object at 0x00000285F117B450>,425.4673053340002
C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,-4.628666061399768,<rdkit.Chem.rdchem.Mol object at 0x00000285F117B3E0>,429.52400000000017
Nc1n[nH]cc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,-4.224050832690105,<rdkit.Chem.rdchem.Mol object at 0x00000285F117B370>,500.36400000000015
Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,-5.377649203116202,<rdkit.Chem.rdchem.Mol object at 0x00000285F117B220>,572.6120000000001
Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)cn1,-5.2412509491662025,<rdkit.Chem.rdchem.Mol object at 0x00000285F117B140>,383.4190000000001
O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,-3.840587880366625,<rdkit.Chem.rdchem.Mol object at 0x00000285F117B0D0>,282.303
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,-3.9480539111991835,<rdkit.Chem.rdchem.Mol object at 0x00000285F13CA260>,306.37300000000005
CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1,-5.095392545523328,<rdkit.Chem.rdchem.Mol object at 0x00000285F13CA1F0>,311.4099999999999
CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-3.8472918140187193,<rdkit.Chem.rdchem.Mol object at 0x00000285F13CA180>,454.4900000000002
C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-3.908552569974956,<rdkit.Chem.rdchem.Mol object at 0x00000285F13CA110>,456.5060000000002
CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,-4.270050784957313,<rdkit.Chem.rdchem.Mol object at 0x00000285F13CA0A0>,665.7739999999997
CC#CC(=O)N1CC[C@@H](n2cc(-c3ccc(Oc4c(F)cccc4F)cc3)c3c(N)n[nH]c(=O)c32)C1,-5.25837296187479,<rdkit.Chem.rdchem.Mol object at 0x00000285F13CA030>,489.4820000000002
C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,-4.0958403447840155,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9FC0>,440.788
COc1ccccc1-c1cc(NC(=O)c2cccc(N3CCNC3=O)c2)[nH]n1,-4.802289532819696,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9F50>,377.4040000000001
Nc1ncc(-c2cccc(C(F)(F)F)c2)c(C2CCCCN2C(=O)c2ccccc2)n1,-4.23018625051094,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9EE0>,426.4420000000002
