SMILES,LogS,MW
CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-3.6161271205,392.50999999999993
O=C1Nc2cccc3cccc1c23,-3.2547670983,169.18299999999996
O=Cc1ccc(Cl)cc1,-2.1770779444,140.569
c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,-4.6620645831,422.52500000000026
C=Cc1cccc(C)c1,-3.1231503041,118.17899999999997
CCC1CCC(CCC(=O)O)C1,-3.286116314,170.25199999999998
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CC(O)C2(O)C(=O)CO,-2.6645485391,376.4490000000002
O=C(c1ccc(F)cc1)c1ccc(F)cc1,-4.3966521847000015,218.202
O=C(OCCCOCCCOC(=O)c1ccccc1)c1ccccc1,-4.595502563999999,342.391
CN(C)c1ccc(C=O)cc1,-2.2827688499,149.19299999999998
CC(=O)OC(C)(C)Cc1ccccc1,-2.3946499685,192.25800000000004
CC(C)(C)c1ccc(OCC2CO2)cc1,-3.4302388798,206.28499999999997
COCCCCC(=O)c1ccc(C(F)(F)F)cc1,-3.5440597008,260.255
CC(C)=CCC/C(C)=C\CO,-2.3206011661000003,154.253
Cc1cc(Cl)ccc1OC(C)C(=O)O,-2.4660307863,214.648
FC(F)(F)c1cccc(Cl)c1,-3.4115138849,180.55599999999998
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407,228.33199999999994
CC(C)CCCCCOC(=O)CCS,-4.4543816995,218.362
CC1=CCC(=C(C)C)CC1,-4.2873429345,136.238
C=C(C)C(=O)[O-],-2.3632080977000003,150.47199999999998
CCNCC(O)c1cccc(O)c1,-3.4541026398000003,181.23499999999999
ClCc1ccc(Cl)cc1Cl,-3.5129421932,195.476
C=C1CCC2CC1C2(C)C,-4.2923134549,136.23799999999997
CCCCCCCC/C=C\CCCCCCCC(=O)O,-4.8091341894,386.6210000000001
CCCCCCCCCCCCOC(=O)C(C)O,-4.6341446203,258.40199999999993
NO,-0.763033718,33.03
C=CC(=O)OCCOc1ccccc1,-2.5636257131,192.21400000000003
CCCC[N+](CCCC)(CCCC)Cc1ccccc1,-2.6418192727000003,499.71700000000016
C=CCCCCCCCCC(=O)O,-3.5528261452,184.279
C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],-4.0571851475,570.3679999999999
CCC(Cc1ccccc1)(C(=O)c1ccc(N2CCOCC2)cc1)N(C)C,-4.7932278922,366.5050000000001
CC(C)CCCCCCc1ccc(O)cc1,-4.587250024599999,220.35600000000002
C=C(C)c1cccc(C(=C)C)c1,-4.4511392252,158.24399999999994
C=COC(=O)CCCCCC(C)(C)C,-4.581332510899999,198.30599999999998
Cc1ccc(C(C)(C)C)cc1,-4.4720217682,148.24900000000002
O=C(O)C1CCCCC1,-1.445031941,128.17100000000002
C(/C=C/c1ccccc1)=NCCCCCCN=C/C=C/c1ccccc1,-3.8937390711,344.50199999999995
CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1,-7.973715535399999,658.8910000000001
CCN(CC[N+](C)(C)C)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,-3.0386996230000003,426.34800000000007
c1ccc2sc(SN3CCOCC3)nc2c1,-3.8109627954,252.36399999999995
CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,-2.5936884915,152.237
CCCN(CCC)C(=O)SCC,-2.7031744039,189.32399999999998
C1CC(COCC2CO2)CCC1COCC1CO1,-1.8357972344,256.3419999999999
Cc1cc(CC(C)CC(C)(C)C)n(O)c(=O)c1,-3.9054642035,298.4270000000001
O=[p+]1oc2ccccc2c2ccccc21,-1.7796231349,215.16799999999998
C=COC(=O)c1ccccc1,-2.6229591952,148.16099999999997
COC(=O)c1ccc(C(C)(C)C)cc1,-3.7398163758,192.25799999999998
Cc1cccc(CC(C)(C)CO)c1,-2.8265354685000004,178.275
CC(=O)OC/C=C(/C)CCC=C(C)C,-3.7549532157,196.29
CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,-2.6959998037,166.264
CC1CC(=O)CC(C)(C)C1,-1.6471414632,140.22599999999997
C=CC(=O)OCCOc1ccccc1-c1ccccc1,-3.9515188418,268.312
O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.1231687481,488.67100000000033
Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O,-4.952868802799999,284.399
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,-5.4730005799,891.500999999999
CCOC(=O)CC(C)CC(C)(C)C,-3.8230431676,186.29499999999996
CCc1ccc(C)nc1,-1.0042604536,121.18299999999998
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,-2.9799872046,228.332
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,-3.1784471289,360.4500000000002
C=C(C)C(=O)OCCOc1ccccc1,-2.9526471698,206.241
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,-4.1510889183,338.44400000000013
CF,-0.1758743764999999,34.033
